lópez	0.7189621308767763
obrador	0.7137096462559039
manuel	0.6053056890384193
andrés	0.5888330650003196
presidente	0.5557108535333014
gobierno	0.5054454023705612
méxico	0.4095290988844215
pueblo	0.2793248519343358
nacional	0.2456002009820903
conferencia	0.20690320698342307
país	0.202501943262103
secretario	0.20051123374787697
corrupción	0.1914926052890136
prensa	0.18180711021550594
pandemia	0.16499619349992536
maya	0.16473827717643122
fideicomisos	0.1644832614198344
tren	0.15420446082856695
obras	0.15327046231136596
unidos	0.1480008470638345
mundo	0.14330853737975185
personas	0.1430220863729598
general	0.13686486064216533
defensa	0.13615892918065983
atender	0.1360509089546546
palacio	0.12576793545835507
transformación	0.12471516025076151
proceso	0.1238230920564983
matutina	0.12376317120368448
mandatario	0.11906894761606371
investigación	0.1156502092410072
caso	0.11457355225249362
plan	0.11442696265079426
lamentable	0.11075196679289226
américa	0.1104605396060885
encuentro	0.10493775099240922
construcción	0.10393398688800377
aeropuerto	0.10310808603390609
mil	0.09942781965908867
detención	0.09890260166692133
apoyos	0.09889814220948598
cienfuegos	0.09872965402009284
economía	0.09756900974322494
zócalo	0.0949291975367219
dinero	0.09442725146003174
crisis	0.0927182447643152
año	0.09133891381303715
pública	0.09113220848461102
proyecto	0.08748525633510396
recursos	0.08702720561450385
secretaría	0.08657558304032406
mal	0.08619359776676945
recordó	0.08574718794829948
narcotráfico	0.0837267739978863
asunto	0.08315873178386975
acuerdo	0.08259344550700093
función	0.08054084802480417
cosa	0.07714218742340889
gente	0.07488640677709159
hospitales	0.07375689815447625
millones	0.07368565751030696
reconoció	0.07356273894545519
deberían	0.07223525513062655
lee	0.07206081171360997
seguir	0.07194989073502893
anderson	0.07170182457416684
importante	0.07101675983901444
políticos	0.07027714865840347
puedan	0.0700165013918062
fallecimientos	0.06930498379383633
periodista	0.06913595824606329
garcía	0.06888806032387483
morena	0.06859680570866707
luna	0.06851895353688264
marcha	0.06827094662020272
octubre	0.06812468586132976
tarde	0.06728419617486785
años	0.06716346636497166
trump	0.06700873126827141
ejército	0.0658948792500146
subrayó	0.06520600038513993
cambio	0.06443973316389996
falta	0.06443344294083617
mexicanos	0.06359669090345602
resolver	0.06352441186576828
elección	0.06345122386975416
mes	0.0633591280583685
frena	0.062832935487892
atención	0.06263498199203664
seguridad	0.0625522783871783
propósito	0.06255063045312806
entregar	0.0604060083681936
temas	0.060324468848061405
asuntos	0.060208637507206765
cabo	0.05986191048945555
sanitaria	0.059275270462442735
ciudad	0.05916517338849726
sostuvo	0.05904625799144132
simpatizantes	0.058942672371880556
guarda	0.05843698160784018
independencia	0.05777472495745668
sana	0.05748482788456008
latina	0.05718541036944441
anunció	0.05679508707948508
distancia	0.05653942004182537
fecha	0.056249627812296754
sandoval	0.05566659261039422
convenio	0.055165904074006525
militar	0.05485866756117604
ciudadanos	0.05466484163065398
especialistas	0.05458105105264707
habló	0.053277471509682
electoral	0.05289424421194739
gobiernos	0.05271397792283367
democracia	0.05188075016373225
gira	0.05146812689183321
tipo	0.0505751848428596
horas	0.05018508145491252
fuerte	0.05007598516941379
participación	0.049750353991818055
malas	0.04926517344490611
oposición	0.0490956737837842
disculpas	0.04888995809671023
ruta	0.04869742114337917
etapa	0.04827328907773425
casa	0.04729907470512689
ángel	0.04716289299236464
cumplimiento	0.046957931482788845
trabajadores	0.0463737290200301
ángeles	0.04585445490399816
pueblos	0.04584703660547135
recibir	0.04574646194660565
federal	0.04573253584836704
originarios	0.044965224402339694
problema	0.04493340153076275
miembros	0.04470309123075521
honduras	0.044161056796897226
reforma	0.04340921465892658
covid	0.04333986410777614
guatemala	0.04325876592711732
robo	0.04312966843520106
agua	0.042861730440590884
pacífica	0.04266342014200241
daños	0.042314464030515656
militares	0.04151659546478576
tomar	0.04146483843752952
reiteró	0.0412391996477187
electorales	0.040695286629379074
titular	0.040184985880207386
incluye	0.04016031256296388
marina	0.03979125204034398
créditos	0.03967216620351991
enrique	0.03962553330339841
presupuesto	0.03959161299897204
región	0.03950829139017401
iniciar	0.03928560084853538
peña	0.03916211801304176
dirigencia	0.039106630837017715
educación	0.03874174922254013
reunión	0.03872984208860621
nieto	0.038711622185594624
presidencial	0.03870136303028256
gabinete	0.03792637191300751
partido	0.03753399050193194
vínculos	0.0374315954067964
información	0.036958878247019177
íbamos	0.036947677067299546
tecnología	0.03666745921124803
chihuahua	0.03610377798193147
protesta	0.03594360404771226
enfermos	0.03580803448676369
opinaba	0.03561207047896273
llamado	0.03541090917322082
diciembre	0.035405671754958824
felipe	0.03540084655537719
pongan	0.035238007866190274
experiencia	0.035089596705257055
ingenieros	0.03506514260574833
evaporado	0.034920315480221224
permitir	0.03482638005789409
fondos	0.0347301048661328
autoridades	0.03410299500931307
intervención	0.03410193343309522
salvador	0.03408897848695501
forma	0.03396269967868701
nombre	0.03376223405613875
artículo	0.033396159655328266
punto	0.03311944556068615
deber	0.03294524563100148
piensa	0.03286282724720742
tiempos	0.03257708981572343
indagatoria	0.03257514537900754
aras	0.03215862014634412
zepeda	0.032033766594646504
ayudó	0.03202954271413967
luis	0.031888694105506994
pagar	0.031754988223493964
cubrebocas	0.031619284101896586
contar	0.03157230260638549
natural	0.03153754350389624
ley	0.03149612631458465
económica	0.03129423181089292
acto	0.031277152563074825
lógico	0.031250183265488334
the	0.031227089043453955
derecho	0.031220408804372258
necesidad	0.031215637719165384
hablar	0.03103022028349529
cámara	0.030879322115271945
central	0.030866329272225684
equipos	0.03046680607399728
diputados	0.03032207389234629
funcionarios	0.030237223183244094
movimientos	0.02986441254193726
