palabras,valor
mas,0.4097581742990945
corrupción,0.3235548675870013
méxico,0.3084385919321448
dinero,0.26526216853075557
presidente,0.25981144811241097
mexicanos,0.25972386281249227
pedir,0.25964221728969195
cienfuegos,0.2523459476709219
perdon,0.22162717482362307
unidos,0.2110230478273623
peor,0.19953311089392617
gringos,0.1666048007368951
general,0.1652533047696905
kks,0.15898085084653385
narco,0.14337800074285767
américa,0.13758596630754183
acuerdo,0.12496356458315537
idea,0.12252392701863818
denuncia,0.12198046517190096
iba,0.12119173455597473
sr,0.11847924552861894
morena,0.11773299855725218
mexico,0.11662928942108437
país,0.11331435893402189
gobierno,0.11063146498539783
noticia,0.10835734011509167
penacho,0.10585425276226557
lengua,0.10480076561343386
moctezuma,0.10450606988996138
mx,0.10356534435132252
pagan,0.103540877806896
mexicano,0.10332562478393169
anda,0.09834445920662839
hijo,0.09736849502497798
tanta,0.09470910178996562
gobierne,0.0928318273918714
queda,0.08836985827441579
amlo,0.0812433342917714
cobarde,0.07782357189372534
años,0.07746856119987874
requiere,0.0771516799081514
privilegios,0.07272764423621805
robado,0.07209594861626886
asi,0.06973414502459357
inepto,0.06410593604554694
hambre,0.06363112539133867
millones,0.062294056174664776
impuestos,0.062134221619721985
anteriores,0.058683376973737926
palacio,0.0574364875545423
ignorante,0.05621819366419518
perdieron,0.05506632876181649
pinche,0.053877152227674696
traidor,0.053615001094710964
dejate,0.05166692376115404
iglesia,0.05026248525465146
entregó,0.05026248525465146
investigara,0.04850106337002015
lopez,0.0470696941619698
culpable,0.04629978273448083
pueblos,0.04338777149588835
originarios,0.0419550640461709
muertos,0.0415942718409643
actual,0.04081081949593503
defensa,0.040064582312676685
alvares,0.037991166643162586
icasa,0.03785645320861669
secretario,0.03262776914703634
loco,0.03114463707410146
torpe,0.031125858483210887
corrupto,0.03108913375512469
agencias,0.031072547480105614
nacional,0.0310534786290745
caso,0.03032857334186392
dea,0.03014410630562023
donal,0.0299595588683214
tron,0.029949163067548728
celebrar,0.029944026564369182
viva,0.029806753879590066
mentiroso,0.029583582864176932
cuido,0.02956396823933536
criticas,0.014322691960400535
pena,0.014322691960400535
ajena,0.014322691960400535
grande,0.014322691960400535
babosadas,0.014322691960400535
pejekakas,0.014322691960400535
hidalgo,0.014322691960400535
queria,0.014322691960400535
criollos,0.014322691960400535
m,0.014322691960400535
g,0.014322691960400535
explica,0.014322691960400535
par,0.014322691960400535
haria,0.014322691960400535
polvo,0.014322691960400535
transportan,0.014322691960400535
matando,0.014322691960400535
cancer,0.014322691960400535
termianles,0.014322691960400535
alpais,0.014322691960400535
robando,0.014322691960400535
manosllenas,0.014322691960400535
gibran,0.014322691960400535
viajando,0.014322691960400535
gastando,0.014322691960400535
topes,0.014322691960400535
sra,0.014322691960400535
costara,0.014322691960400535
viajesito,0.014322691960400535
maquillar,0.014322691960400535
seguro,0.014322691960400535
carta,0.014322691960400535
pide,0.014322691960400535
indulgencia,0.014322691960400535
lospi,0.014322691960400535
perdo,0.014322691960400535
on,0.014322691960400535
fami,0.014322691960400535
lia,0.014322691960400535
saqueos,0.014322691960400535
rata,0.014322691960400535
fifis,0.014322691960400535
cree,0.014322691960400535
mil,0.014322691960400535
jodido,0.014322691960400535
pueblo,0.014322691960400535
medicamentos,0.014322691960400535
cacer,0.014322691960400535
sedena,0.014322691960400535
guantes,0.014322691960400535
caretas,0.014322691960400535
estupideces,0.014322691960400535
chinas,0.014322691960400535
creciendo,0.014322691960400535
derroche,0.014322691960400535
robos,0.014322691960400535
ocultos,0.014322691960400535
paraisos,0.014322691960400535
pi,0.014322691960400535
ofiscales,0.014322691960400535
regresar,0.014322691960400535
todolo,0.014322691960400535
reactive,0.014322691960400535
lapena,0.014322691960400535
muerte,0.014322691960400535
patria,0.014322691960400535
revision,0.014322691960400535
cero,0.014322691960400535
pesos,0.014322691960400535
apartidos,0.014322691960400535
politicos,0.014322691960400535
guepeto,0.014322691960400535
salio,0.014322691960400535
walt,0.014322691960400535
disney,0.014322691960400535
rey,0.014322691960400535
lamentira,0.014322691960400535
elpinpejeocho,0.014322691960400535
ladron,0.014322691960400535
vida,0.014322691960400535
primor,0.014322691960400535
llena,0.014322691960400535
ratas,0.014322691960400535
alla,0.014322691960400535
francisco,0.014322691960400535
entender,0.014322691960400535
jesús,0.014322691960400535
apóstoles,0.014322691960400535
pablo,0.014322691960400535
judíos,0.014322691960400535
debería,0.014322691960400535
perdón,0.014322691960400535
abusar,0.014322691960400535
intrigoso,0.014322691960400535
astuto,0.014322691960400535
solapar,0.014322691960400535
quererse,0.014322691960400535
quedar,0.014322691960400535
fideicomisos,0.014322691960400535
malmanejo,0.014322691960400535
aspectos,0.014322691960400535
nole,0.014322691960400535
presten,0.014322691960400535
sienta,0.014322691960400535
niños,0.014322691960400535
enfermos,0.014322691960400535
mesa,0.014322691960400535
humanidad,0.014322691960400535
sandino,0.014322691960400535
camacho,0.014322691960400535
valenzuela,0.014322691960400535
enfocarán,0.014322691960400535
investigar,0.014322691960400535
acciones,0.014322691960400535
derivan,0.014322691960400535
plan,0.014322691960400535
conjunto,0.014322691960400535
específico,0.014322691960400535
mexicoestados,0.014322691960400535
tocaría,0.014322691960400535
minimizar,0.014322691960400535
emigración,0.014322691960400535
centro,0.014322691960400535
acabó,0.014322691960400535
garcía,0.014322691960400535
luna,0.014322691960400535
pan,0.014322691960400535
pri,0.014322691960400535
acusados,0.014322691960400535
narcotráfico,0.014322691960400535
lavado,0.014322691960400535
voto,0.014322691960400535
partidos,0.014322691960400535
