palabras,valor
lópez,0.6681116225238837
obrador,0.6631071407708912
presidente,0.29647814582709536
seguridad,0.2538070176625121
país,0.24342301210056216
andrés,0.1928304653918473
manuel,0.17930530758010296
años,0.17760430580591524
elementos,0.17596982670253777
vaticano,0.16733089937091472
gobierno,0.16157600831244476
cuestiona,0.12507272033413042
gutiérrez,0.12052181348732802
iglesia,0.11548121234979312
señala,0.11362990854598384
méxico,0.1072768121999208
garcía,0.10366906401110607
anaya,0.10011292790748781
müller,0.09692132313320216
empresa,0.09434491223963551
presidencial,0.09123028642130747
afirma,0.08967776638313281
supuesto,0.0826657182982389
ligada,0.082133042473079
año,0.08150295746599888
critican,0.08116608889782627
manos,0.07927841830638808
disculpa,0.07657494362713936
luna,0.07587073684678024
sociales,0.07582877922185231
españa,0.07546234479397555
perdón,0.07509596004887518
originarios,0.07477453234931437
latinoamérica,0.0741500142208222
especialistas,0.07043874895126388
materia,0.07016671685866498
tabasqueño,0.06953604711145586
amlo,0.06860743536932631
violencia,0.06773063548075466
papa,0.06744583473818795
reforma,0.06714291770098688
región,0.0643192361950002
esperaba,0.06379986246173376
reacción,0.06176683750700825
sangre,0.05986874360861695
francisco,0.059015492542096565
financial,0.05818186320860481
pública,0.057965685886482876
inseguridad,0.05784386662509366
pueblos,0.057709946510619656
crímenes,0.05742946239019825
ofrecer,0.05607180429363477
millones,0.055922184242453404
actuales,0.05574364682473636
dólares,0.05501768748622138
personas,0.054697298757570935
acusado,0.05468068966698234
recuerda,0.05410927912666068
serio,0.05354326220638534
video,0.052122967327776784
figura,0.050850868983388725
casos,0.050787082472535855
mil,0.050274293068121846
católica,0.05014205966411819
editorial,0.04993541840354031
documento,0.04948536358437649
información,0.04883816673296614
instituciones,0.04878492349114651
redes,0.04638040038040572
ezln,0.046344205139535015
ejército,0.04578800726545914
española,0.04562473054948032
marina,0.04509448305299071
intolerante,0.044679997562999604
policía,0.044435033906807246
federal,0.043807315926753854
tierras,0.0429289927853272
elecciones,0.042708886106251634
diario,0.042110005263657053
laborales,0.04178418085758102
consiste,0.04133728438487396
prestaciones,0.04108408383444424
documentos,0.041035296810029834
historia,0.04088627320338536
viaje,0.04087494653586276
jóvenes,0.04087494653586276
estrategia,0.03950036694580147
curso,0.03813107767136909
costo,0.037654524272247684
problema,0.03680969768295464
propuesta,0.03678748027472386
investigador,0.03676584773791192
velázquez,0.03564503264576251
actual,0.03417855509486411
precedieron,0.03197679671155065
español,0.03184073722806082
caso,0.031384062701999546
miguel,0.031245135944423474
delitos,0.031164121924311
mandatario,0.030995025634834417
hora,0.03011938930061779
media,0.02968465334833469
conquista,0.028911847807138312
titular,0.027903170989064283
ejecutivo,0.027793040873457135
cambiar,0.02759002772156037
asegura,0.02677788474742372
fallida,0.026062494299777788
pidan,0.025697620088847694
códice,0.025465077047380567
sector,0.02528708277987126
pedir,0.024918897700527742
esposa,0.024855287367766377
cultura,0.024829924436145703
guerra,0.02454760278539381
pueblo,0.02438849161523928
presupuesto,0.024232545242325074
convocatoria,0.024111231088538555
económica,0.02383958086270693
acto,0.02300149209770059
funcionarios,0.02223311801672909
reciente,0.021928645448111145
católicos,0.021686018940222505
rechaza,0.021534699888207193
autoritarios,0.021118410755738035
electoral,0.021071595141432902
peor,0.01987117395288485
utiliza,0.019716433024215635
calificó,0.019673529215247613
plan,0.019579029888213084
